Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA
Date,,,,,,,,,,
2019-01-02,37.53882598876953,20.674667358398438,37.75989619158616,21.0086669921875,36.661683377623504,19.920000076293945,36.81857144063734,20.406667709350586,148158800,174879000
2019-01-03,33.7996711730957,20.02400016784668,34.63877937995314,20.626667022705078,33.75450611274441,19.825332641601562,34.225166520409374,20.46666717529297,365248800,104478000
2019-01-04,35.24256134033203,21.179332733154297,35.311498641777554,21.200000762939453,34.18238645663675,20.18199920654297,34.35591215580835,20.399999618530273,234428400,110911500
2019-01-07,35.164119720458984,22.33066749572754,35.37805895693896,22.44933319091797,34.68157308595714,21.183332443237305,35.347155776449505,21.447999954223633,219111200,113268000
2019-01-08,35.83444595336914,22.356666564941406,36.0887950056373,22.93400001525879,35.3043586474007,21.801332473754883,35.551573129681245,22.797332763671875,164101200,105127500
2019-01-09,36.44297790527344,22.568666458129883,36.732981676968095,22.899999618530273,35.56821504629023,22.097999572753906,35.96280719075942,22.366666793823242,180396400,81493500
2019-01-10,36.55946350097656,22.99799919128418,36.599873395186364,23.025999069213867,35.860601928696866,22.119333267211914,36.250442609046516,22.293333053588867,143122800,90846000
2019-01-11,36.20052719116211,23.150667190551758,36.53569613305001,23.227333068847656,36.01511535674199,22.584667205810547,36.340777580487256,22.805999755859375,108092800,75586500
2019-01-14,35.656185150146484,22.293333053588867,35.95807520001544,22.833332061767578,35.4707732775365,22.266666412353516,35.8582383168512,22.825332641601562,129756800,78709500
2019-01-15,36.38594055175781,22.961999893188477,36.46200517390876,23.253332138061523,35.66806186445189,22.299999237060547,35.72035787905168,22.333332061767578,114843600,90849000
2019-01-16,36.83045196533203,23.06999969482422,37.053897907115854,23.46666717529297,36.369298192226466,22.899999618530273,36.388315253988246,22.985332489013672,122278800,70375500
2019-01-17,37.04914093017578,23.15399932861328,37.47701573113926,23.433332443237305,36.43109914799148,22.94333267211914,36.65454507889094,23.08066749572754,119284800,55150500
2019-01-18,37.27734375,20.150667190551758,37.52931347019117,21.808666229248047,37.07766641559792,19.98200035095215,37.43898333384579,21.53333282470703,135004000,362262000
2019-01-22,36.44060516357422,19.92799949645996,37.25594114742215,20.53333282470703,36.27896197923972,19.700000762939453,37.179876540248834,20.321332931518555,121576000,181000500
2019-01-23,36.587974548339844,19.172666549682617,36.877978278479155,19.633333206176758,36.06026308052125,18.779333114624023,36.642646312409056,19.5,92522400,187950000
2019-01-24,36.2979850769043,19.43400001525879,36.72110472601421,19.57866668701172,36.06978759028488,18.618667602539062,36.63315398920607,18.868667602539062,101766000,120183000
2019-01-25,37.500789642333984,19.80266761779785,37.588744014533056,19.90133285522461,36.683077673523904,19.303333282470703,36.95881602681458,19.625999450683594,134142000,108744000
2019-01-28,37.153724670410156,19.7586669921875,37.16085561324242,19.83066749572754,36.52617631124238,19.183332443237305,37.03249138799635,19.527332305908203,104768400,96349500
2019-01-29,36.76864242553711,19.83066749572754,37.58873727432573,19.90399932861328,36.633150859519866,19.453332901000977,37.14184542943609,19.684667587280273,166348800,69325500
2019-01-30,39.28121566772461,20.584667205810547,39.495151246226506,20.600000381469727,38.087921443945866,19.89933204650879,38.805800046935204,20.030000686645508,244439200,168754500
2019-01-31,39.5640869140625,20.468000411987305,40.17261830328575,20.770666122436523,39.1171950882309,19.600000381469727,39.48564290460484,20.066667556762695,162958400,188538000
2019-02-01,39.58310317993164,20.81399917602539,40.16786232651912,21.073333740234375,39.44285282376112,20.233333587646484,39.68769519044533,20.3613338470459,130672400,109251000
2019-02-04,40.70747375488281,20.859333038330078,40.80493485453083,21.020000457763672,39.763773197226605,20.125333786010742,39.79467638178191,20.865333557128906,125982000,110281500
2019-02-05,41.40395736694336,21.42333221435547,41.617896638167025,21.496000289916992,40.96895513243758,20.816667556762695,41.090184847136875,20.832666397094727,144406400,101142000
2019-02-06,41.418212890625,21.148000717163086,41.734364734328345,21.615999221801758,41.087799157709014,21.041332244873047,41.51567034262258,21.305999755859375,112958400,75577500
2019-02-07,40.633766174316406,20.500667572021484,41.34688947361397,20.979999542236328,40.49114006360383,20.200000762939453,40.98081748211359,20.886667251586914,126966800,97809000
2019-02-08,40.68151092529297,20.386667251586914,40.74119273688127,20.496667861938477,40.20644239368218,19.899999618530273,40.342518672594075,20.455333709716797,95280000,87663000
2019-02-11,40.44757080078125,20.856000900268555,40.87250881024949,21.239999771118164,40.404601628781016,20.700000762939453,40.83431156223369,20.773332595825195,83973600,106945500
2019-02-12,40.79611587524414,20.78733253479004,40.82237602892357,21.21266746520996,40.51202975162763,20.641332626342773,40.60752287532111,21.079999923706055,89134000,82764000
2019-02-13,40.626609802246094,20.544666290283203,41.17568331587446,20.850000381469727,40.5645420161693,20.3713321685791,40.91547143544663,20.823333740234375,89960800,77124000
2019-02-14,40.774620056152344,20.251333236694336,40.884432564786806,20.451332092285156,40.43562775647638,20.066667556762695,40.51440819581286,20.225332260131836,87342800,78012000
2019-02-15,40.68391036987305,20.525333404541016,40.98948105506245,20.53333282470703,40.52396349892937,20.260000228881836,40.88205448713788,20.299999237060547,98507200,58573500
